level4,level3,level2
20969,2096,209
20970,2097,209
20971,2097,209
20972,2097,209
20973,2097,209
20974,2097,209
20975,2097,209
20979,2097,209
2101,2101,210
2102,2102,210
2104,2104,210
2106,2106,210
2107,2107,210
2109,2109,210
2110,2110,211
2111,2111,211
2112,2112,211
2113,2113,211
2114,2114,211
2115,2115,211
2116,2116,211
2117,2117,211
2118,2118,211
2119,2119,211
2120,2120,212
2121,2121,212
2122,2122,212
2123,2123,212
2125,2125,212
2126,2126,212
2127,2127,212
2130,2130,213
2131,2131,213
2132,2132,213
2133,2133,213
2134,2134,213
2136,2136,213
2137,2137,213
2138,2138,213
2139,2139,213
2140,2140,214
2141,2141,214
2142,2142,214
2143,2143,214
2144,2144,214
2148,2148,214
2149,2149,214
2150,2150,215
2152,2152,215
2153,2153,215
2154,2154,215
2155,2155,215
2156,2156,215
2157,2157,215
2158,2158,215
2159,2159,215
2160,2160,216
2161,2161,216
2162,2162,216
2163,2163,216
2164,2164,216
2165,2165,216
2166,2166,216
2167,2167,216
2168,2168,216
2169,2169,216
217,217,217
2180,2180,218
2181,2181,218
2182,2182,218
2189,2189,218
2190,2190,219
2191,2191,219
2199,2199,219
220,220,220
2210,2210,221
2211,2211,221
2212,2212,221
2218,2218,221
2230,2230,223
2233,2233,223
2241,2241,224
2249,2249,224
2250,2250,225
2251,2251,225
2252,2252,225
2253,2253,225
2254,2254,225
2259,2259,225
226,226,226
2270,2270,227
2271,2271,227
2273,2273,227
2274,2274,227
2275,2275,227
22800,2280,228
22801,2280,228
22802,2280,228
22804,2280,228
22809,2280,228
2281,2281,228
2298,2298,229
2300,2300,230
2302,2302,230
2303,2303,230
2304,2304,230
2305,2305,230
2306,2306,230
2307,2307,230
2309,2309,230
2310,2310,231
2312,2312,231
2323,2323,232
2325,2325,232
2326,2326,232
2327,2327,232
2329,2329,232
2330,2330,233
2331,2331,233
23331,2333,233
23332,2333,233
23339,2333,233
2334,2334,233
2335,2335,233
2337,2337,233
2339,2339,233
2348,2348,234
2349,2349,234
2350,2350,235
2351,2351,235
2352,2352,235
2353,2353,235
2354,2354,235
2355,2355,235
2356,2356,235
2357,2357,235
2358,2358,235
2360,2360,236
2361,2361,236
2362,2362,236
2363,2363,236
2365,2365,236
2366,2366,236
2367,2367,236
23691,2369,236
2370,2370,237
2371,2371,237
2372,2372,237
2373,2373,237
2374,2374,237
2375,2375,237
2376,2376,237
23770,2377,237
23771,2377,237
23772,2377,237
23773,2377,237
23779,2377,237
2379,2379,237
2380,2380,238
2381,2381,238
2382,2382,238
2383,2383,238
2384,2384,238
2385,2385,238
2386,2386,238
23871,2387,238
23872,2387,238
23873,2387,238
23874,2387,238
23875,2387,238
23876,2387,238
23877,2387,238
23879,2387,238
2388,2388,238
2390,2390,239
2391,2391,239
2392,2392,239
2393,2393,239
2394,2394,239
2395,2395,239
2396,2396,239
2397,2397,239
2398,2398,239
23989,2398,239
2399,2399,239
2400,2400,240
2409,2409,240
2410,2410,241
2411,2411,241
2419,2419,241
24200,2420,242
24201,2420,242
24210,2421,242
24220,2422,242
24221,2422,242
24230,2423,242
24280,2428,242
24281,2428,242
24290,2429,242
24291,2429,242
243,243,243
2440,2440,244
2441,2441,244
2442,2442,244
2443,2443,244
2448,2448,244
2449,2449,244
2450,2450,245
2451,2451,245
2452,2452,245
2454,2454,245
2458,2458,245
2459,2459,245
2461,2461,246
2462,2462,246
2468,2468,246
2469,2469,246
24900,2490,249
24901,2490,249
24911,2491,249
24920,2492,249
24940,2494,249
24941,2494,249
24950,2495,249
24951,2495,249
24960,2496,249
24961,2496,249
24970,2497,249
24971,2497,249
24980,2498,249
24981,2498,249
24990,2499,249
24991,2499,249
25000,2500,250
25001,2500,250
25002,2500,250
25003,2500,250
25010,2501,250
25011,2501,250
25012,2501,250
25013,2501,250
25020,2502,250
25021,2502,250
25022,2502,250
25023,2502,250
25030,2503,250
25031,2503,250
25032,2503,250
25033,2503,250
25040,2504,250
25041,2504,250
25042,2504,250
25043,2504,250
25050,2505,250
25051,2505,250
25052,2505,250
25053,2505,250
25060,2506,250
25061,2506,250
25062,2506,250
25063,2506,250
25070,2507,250
25071,2507,250
25072,2507,250
25073,2507,250
25080,2508,250
25081,2508,250
25082,2508,250
25083,2508,250
25090,2509,250
25091,2509,250
25092,2509,250
25093,2509,250
2510,2510,251
2511,2511,251
2512,2512,251
2513,2513,251
